,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
178,50470,2,1,1,3.0,67,0,535,0,0,2.0,8
179,50470,2,2,1,3.0,67,0,535,0,0,2.0,8
180,50478,1,1,1,1.0,45,0,570,60,0,2.0,6
181,50478,1,2,1,1.0,45,0,640,31,0,2.0,6
182,50497,1,1,1,3.0,53,40,685,0,90,2.0,6
183,50497,1,2,1,3.0,53,430,465,0,96,2.0,6
184,50512,1,1,1,1.0,67,0,410,20,0,1.0,8
185,50512,1,2,1,1.0,67,0,580,103,0,1.0,8
188,50520,1,1,2,1.0,57,0,370,10,90,1.0,7
189,50520,1,2,2,1.0,57,0,610,0,96,1.0,7
192,50541,1,1,1,3.0,61,0,575,10,120,2.0,7
193,50541,1,2,1,3.0,61,0,495,0,96,2.0,7
194,50543,2,1,1,3.0,44,370,445,30,0,1.0,5
195,50543,2,2,1,3.0,44,0,495,93,240,1.0,5
196,50550,2,1,1,1.0,52,130,600,60,80,2.0,6
197,50550,2,2,1,1.0,52,550,480,62,60,2.0,6
198,50552,1,1,2,1.0,53,0,540,70,80,1.0,6
199,50552,1,2,2,1.0,53,0,660,103,96,1.0,6
200,50555,1,1,1,1.0,50,0,360,0,80,2.0,6
201,50555,1,2,1,1.0,50,510,370,21,0,2.0,6
202,50560,1,1,2,3.0,22,60,445,0,0,1.0,3
203,50560,1,2,2,3.0,22,0,735,0,72,1.0,3
206,50569,1,1,1,1.0,62,0,650,80,90,1.0,7
207,50569,1,2,1,1.0,62,0,620,154,96,1.0,7
208,50584,2,1,2,1.0,42,530,520,0,0,1.0,5
209,50584,2,2,2,1.0,42,60,650,21,0,1.0,5
210,50590,2,1,1,1.0,84,0,250,240,0,1.0,9
211,50590,2,2,1,1.0,84,0,390,62,120,1.0,9
214,50597,1,1,1,1.0,39,430,400,0,110,1.0,5
215,50597,1,2,1,1.0,39,0,690,21,0,1.0,5
216,50600,1,1,2,2.0,53,460,460,90,0,1.0,6
217,50600,1,2,2,2.0,53,0,590,185,0,1.0,6
218,50602,2,1,2,1.0,84,0,450,100,0,2.0,9
219,50602,2,2,2,1.0,84,0,420,113,132,2.0,9
220,50605,2,1,1,1.0,32,0,390,0,0,1.0,4
221,50605,2,2,1,1.0,32,0,510,0,120,1.0,4
222,50608,1,1,1,1.0,52,0,510,110,0,1.0,6
223,50608,1,2,1,1.0,52,0,520,62,0,1.0,6
224,50612,2,1,2,1.0,45,0,540,0,110,1.0,6
225,50612,2,2,2,1.0,45,0,410,21,0,1.0,6
226,50616,1,1,1,2.0,64,0,610,10,120,1.0,7
227,50616,1,2,1,2.0,64,0,480,0,0,1.0,7
228,50617,2,1,2,2.0,25,360,540,0,0,1.0,4
229,50617,2,2,2,2.0,25,420,460,0,96,1.0,4
230,50631,2,1,2,3.0,73,0,475,20,100,2.0,8
231,50631,2,2,2,3.0,73,0,495,52,0,2.0,8
232,50636,1,1,2,1.0,58,130,620,40,90,1.0,7
233,50636,1,2,2,1.0,58,430,440,103,0,1.0,7
234,50640,2,1,1,1.0,38,0,540,40,0,1.0,5
235,50640,2,2,1,1.0,38,530,390,41,72,1.0,5
238,50645,1,1,2,3.0,29,0,395,0,130,1.0,4
239,50645,1,2,2,3.0,29,0,585,0,156,1.0,4
240,50654,1,1,2,1.0,74,0,470,180,130,1.0,8
241,50654,1,2,2,1.0,74,0,520,309,180,1.0,8
242,50655,2,1,1,3.0,57,0,435,0,0,1.0,7
243,50655,2,2,1,3.0,57,0,435,52,72,1.0,7
244,50659,1,1,1,3.0,53,510,425,70,110,2.0,6
245,50659,1,2,1,3.0,53,0,625,21,0,2.0,6
246,50667,1,1,1,1.0,48,0,410,20,0,2.0,6
247,50667,1,2,1,1.0,48,410,350,21,120,2.0,6
248,50671,1,1,2,2.0,52,0,600,20,120,1.0,6
249,50671,1,2,2,2.0,52,480,420,72,84,1.0,6
250,50673,2,1,2,1.0,64,510,380,80,0,1.0,7
251,50673,2,2,2,1.0,64,0,500,62,0,1.0,7
252,50683,2,1,1,2.0,36,570,300,0,0,1.0,5
253,50683,2,2,1,2.0,36,0,580,0,156,1.0,5
